bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
b11246732a,eAudiobook,AADA0A8F-63F8-48A5-8964-980376E54F74,https://link.overdrive.com/?websiteID=89&titleID=58625,Normal,0
b11246733a,eAudiobook,5B32B738-B0E9-4C7D-B67C-157BCBD0C63C,https://link.overdrive.com/?websiteID=89&titleID=60859,Normal,0
b11246734a,eAudiobook,BADD38E7-82BB-4FAC-9D73-DBD8CA40EECB,https://link.overdrive.com/?websiteID=89&titleID=58640,Normal,0
b11246736a,eAudiobook,7AC0CB38-4D07-471C-8381-EA28118D090C,https://link.overdrive.com/?websiteID=89&titleID=58654,Normal,0
b11246750a,eAudiobook,C810B11E-9A47-42A6-8CF7-156113DCE9AF,https://link.overdrive.com/?websiteID=89&titleID=58349,Normal,0
b11246751a,eAudiobook,8F74C21D-F110-406D-8663-1816CD514E49,https://link.overdrive.com/?websiteID=89&titleID=60651,Normal,0
b11246752a,eAudiobook,24D93E89-A2A7-4FEE-BC2C-41D9DF2E8B59,https://link.overdrive.com/?websiteID=89&titleID=58354,Normal,0
b11246756a,eAudiobook,A91E28B7-C6E3-45C7-84F9-A7F75AFC2319,https://link.overdrive.com/?websiteID=89&titleID=58368,Normal,0
b11246760a,eAudiobook,DC8DBF87-214E-428C-8992-CCA24AE567E9,https://link.overdrive.com/?websiteID=89&titleID=58385,Normal,0
b11246761a,eAudiobook,27733E50-0C78-43F5-BB47-E5929A138F89,https://link.overdrive.com/?websiteID=89&titleID=58387,Normal,0
b11246763a,eAudiobook,B4629BD8-2E6C-47FD-BA83-EBF7830795D9,https://link.overdrive.com/?websiteID=89&titleID=60671,Normal,0
b11246764a,eAudiobook,33C3FA59-61C9-4382-9A98-70C1D3C9D844,https://link.overdrive.com/?websiteID=89&titleID=60673,Normal,0
b11246769a,eAudiobook,AAC8752D-4595-47E5-9EF3-7A82F6DCB58D,https://link.overdrive.com/?websiteID=89&titleID=58411,Normal,0
b11246770a,eAudiobook,80C527C5-4B89-46CF-9FE3-D33942008191,https://link.overdrive.com/?websiteID=89&titleID=58421,Normal,0
b11246771a,eAudiobook,CA3C66C5-8B3E-45C7-8A61-8EBB0E7987E8,https://link.overdrive.com/?websiteID=89&titleID=58455,Normal,0
b11246772a,eAudiobook,AA2CCE9D-8CBA-4983-8633-7D6A2336EC80,https://link.overdrive.com/?websiteID=89&titleID=58531,Normal,0
b11246773a,eAudiobook,61556FB8-AE7F-46E0-AA94-E35070144ED8,https://link.overdrive.com/?websiteID=89&titleID=58538,Normal,0
b11246774a,eAudiobook,C95A3812-B814-4862-B662-5695E30C6491,https://link.overdrive.com/?websiteID=89&titleID=58541,Normal,0
b11246777a,eAudiobook,90E733E4-8E5B-4536-ADD9-EB0702C6044B,https://link.overdrive.com/?websiteID=89&titleID=60834,Normal,0
b11246778a,eAudiobook,6B215A74-1DC5-4822-ADB1-CAA521273395,https://link.overdrive.com/?websiteID=89&titleID=58614,Normal,0
b11246779a,eAudiobook,FB5503AA-563B-405E-BB97-BCA2DA9BE3A5,https://link.overdrive.com/?websiteID=89&titleID=58635,Normal,0
b11246780a,eAudiobook,E541FEBA-9F5A-4207-9A39-9057FE4D5680,https://link.overdrive.com/?websiteID=89&titleID=58638,Normal,0
b11246783a,eAudiobook,3FD3B2FD-44BE-4342-BAEC-C9130C4EF3B7,https://link.overdrive.com/?websiteID=89&titleID=58658,Normal,0
b11246830a,eAudiobook,A56A936C-9A29-4407-8646-0576EBA5722D,https://link.overdrive.com/?websiteID=89&titleID=60716,Normal,0
b11246833a,eAudiobook,3AF502CA-0CAE-432B-A244-A5441F868B1A,https://link.overdrive.com/?websiteID=89&titleID=60680,Normal,0
b11246834a,eAudiobook,6A79D91D-C681-47FD-A98F-F4D0F571758F,https://link.overdrive.com/?websiteID=89&titleID=60706,Normal,0
b11246837a,eAudiobook,71F19F09-5683-441F-AD86-3EDA1C6D8AA8,https://link.overdrive.com/?websiteID=89&titleID=60868,Normal,0
b11246838a,eAudiobook,E5FBF0BC-C2F2-4236-B4DA-4C5977F32CD7,https://link.overdrive.com/?websiteID=89&titleID=60869,Normal,0
b11246848a,eAudiobook,C473135D-8C63-4917-9195-B4A434C6AA61,https://link.overdrive.com/?websiteID=89&titleID=60727,Normal,0
b11246849a,eAudiobook,7AE97C96-522E-4BF8-AD91-CCE6F9FD9A47,https://link.overdrive.com/?websiteID=89&titleID=60728,Normal,0
b11246850a,eAudiobook,E685B5C7-674A-4FB2-B4B1-E721FE5B23AC,https://link.overdrive.com/?websiteID=89&titleID=60729,Normal,0
b11246857a,eAudiobook,EC69DB50-2AA8-4CE8-BF3B-28911796F5AF,https://link.overdrive.com/?websiteID=89&titleID=60696,Normal,0
b11246863a,eAudiobook,8D540D94-B7D9-40B1-976E-B1AB634BF032,https://link.overdrive.com/?websiteID=89&titleID=60767,Normal,0
b11246866a,eAudiobook,F6C8F006-66C8-4E25-A708-2C0B7A41BA72,https://link.overdrive.com/?websiteID=89&titleID=60780,Normal,0
b11246868a,eAudiobook,D40B9E4E-CDC2-4FB1-A699-8B4310144928,https://link.overdrive.com/?websiteID=89&titleID=60652,Normal,0
b11246869a,eAudiobook,E384B36A-B655-4885-86F9-0A4BA77305FA,https://link.overdrive.com/?websiteID=89&titleID=63244,Normal,0
b11246870a,eAudiobook,0EA11822-2024-47DA-BE9D-C78F8475993E,https://link.overdrive.com/?websiteID=89&titleID=63245,Normal,0
b11246637a,eAudiobook,13A5F3C3-43BA-449A-9AA3-4BBC43DDD388,https://link.overdrive.com/?websiteID=89&titleID=58359,Normal,0
b11258550a,eAudiobook,F18861A9-71D7-48D8-92AA-9B8F7A489B42,https://link.overdrive.com/?websiteID=89&titleID=60666,Normal,0
b11258552a,eAudiobook,F24C3E4F-5D87-420C-9F79-8C09C78A762B,https://link.overdrive.com/?websiteID=89&titleID=60740,Normal,0
b11258562a,eAudiobook,AE28BB0D-0D0F-4D96-BDD2-1560986E6E32,https://link.overdrive.com/?websiteID=89&titleID=65607,Normal,0
b11275393a,eAudiobook,B4174C55-FE86-4455-9770-59747BD03A06,https://link.overdrive.com/?websiteID=89&titleID=76462,Normal,0
b11275410a,eAudiobook,1F141BEC-62DA-4D43-B06D-D127E6116925,https://link.overdrive.com/?websiteID=89&titleID=60659,Normal,0
b11275411a,eAudiobook,CF125824-C5EA-40EA-AE73-4977B2F45562,https://link.overdrive.com/?websiteID=89&titleID=60679,Normal,0
b11275412a,eAudiobook,1519131D-DF4A-4E81-BC61-BA94B8DC41EC,https://link.overdrive.com/?websiteID=89&titleID=60688,Normal,0
b11302570a,eAudiobook,34AD14A1-D321-41B3-ACBC-4BF1AAD069E3,https://link.overdrive.com/?websiteID=89&titleID=65605,Normal,0
b11302581a,eAudiobook,124F9CAF-47CB-4C2C-96E3-006885B97AF5,https://link.overdrive.com/?websiteID=89&titleID=85854,Normal,0
b11302582a,eAudiobook,14C35E82-6A1C-47B5-9899-BC9F08AA40E4,https://link.overdrive.com/?websiteID=89&titleID=60646,Normal,0
b11302626a,eAudiobook,6F6A9F97-0519-4566-B518-53567F7AB927,https://link.overdrive.com/?websiteID=89&titleID=85821,Normal,0
b11310564a,Online Video,89B5B265-02E3-46FD-9E60-7D7C70736EC7,https://link.overdrive.com/?websiteID=89&titleID=84692,Normal,0
b11310591a,Online Video,F09C3F36-A73F-4E6F-BCD5-E4C3D9E5223D,https://link.overdrive.com/?websiteID=89&titleID=83993,Normal,0
b11310592a,Online Video,55EF6D4C-7D84-498D-983A-1545AC1AC0CF,https://link.overdrive.com/?websiteID=89&titleID=84022,Normal,0
b11241189a,eAudiobook,4ED37E7C-A75E-4489-835E-F4B73D213BA6,https://link.overdrive.com/?websiteID=89&titleID=60850,Normal,0
b11344815a,Online Video,D3C5CA6E-242F-4BBF-8337-4F4AAECAB52E,https://link.overdrive.com/?websiteID=89&titleID=83992,Normal,0
b11344816a,Online Video,2F695EA6-1857-4FE1-B83D-A27CFFBA8EA1,https://link.overdrive.com/?websiteID=89&titleID=84008,Normal,0
b11344817a,Online Video,270793D7-D989-485C-BE1D-A465A2C61723,https://link.overdrive.com/?websiteID=89&titleID=84018,Normal,0
b11344818a,Online Video,F6295E6A-806E-4EF0-BB57-C2131937752A,https://link.overdrive.com/?websiteID=89&titleID=84303,Normal,0
b11344819a,Online Video,499F2090-80F1-448B-BA35-94A3B18B8973,https://link.overdrive.com/?websiteID=89&titleID=84251,Normal,0
b11344820a,Online Video,336D3915-5215-408D-A6C4-E4A80EADC16D,https://link.overdrive.com/?websiteID=89&titleID=83927,Normal,0
b11344821a,Online Video,90AA9120-00C3-4901-A7A4-F8112E59CBA1,https://link.overdrive.com/?websiteID=89&titleID=84764,Normal,0
b11344823a,Online Video,744416EE-B29D-47D9-8B02-7339E9B08383,https://link.overdrive.com/?websiteID=89&titleID=84706,Normal,0
b11344824a,Online Video,79A2C8A9-88FC-4B17-93CF-EB7DB8C22805,https://link.overdrive.com/?websiteID=89&titleID=84708,Normal,0
b11344825a,Online Video,F539F873-432B-4B1B-B7BA-B2BE7AEFACE7,https://link.overdrive.com/?websiteID=89&titleID=84061,Normal,0
b11344826a,Online Video,68B1124C-273D-42BE-8A7E-F81F774AF54E,https://link.overdrive.com/?websiteID=89&titleID=84062,Normal,0
b11344827a,Online Video,F3DAF266-836C-48E4-876B-4F5F50977E48,https://link.overdrive.com/?websiteID=89&titleID=84373,Normal,0
b11344828a,Online Video,AC5ECFC7-D3F8-4A6C-AE4A-5FC83A5A097E,https://link.overdrive.com/?websiteID=89&titleID=84304,Normal,0
b11344829a,Online Video,5C9C6EC7-2FBA-480D-B922-CE8DBF56FB7E,https://link.overdrive.com/?websiteID=89&titleID=84729,Normal,0
b11344830a,Online Video,34B34BC1-C44B-48AA-ADF1-9D788E537DE8,https://link.overdrive.com/?websiteID=89&titleID=84138,Normal,0
b11344831a,Online Video,07D37F23-D324-425B-A262-E01122EAD47C,https://link.overdrive.com/?websiteID=89&titleID=84139,Normal,0
b11344832a,Online Video,138779DD-2D14-45F1-B873-EA0DD18CB3BF,https://link.overdrive.com/?websiteID=89&titleID=84615,Normal,0
b11344833a,Online Video,3851C97C-CBAB-4D19-AF18-3C48A758482A,https://link.overdrive.com/?websiteID=89&titleID=84621,Normal,0
b11344834a,Online Video,A922EC7D-28A4-4B82-9E45-33431D97F5F0,https://link.overdrive.com/?websiteID=89&titleID=84903,Normal,0
b11344835a,Online Video,323FA544-F797-41E0-819A-99FEF4555DDF,https://link.overdrive.com/?websiteID=89&titleID=84091,Normal,0
b11344836a,Online Video,0A215A3F-4B8F-494F-8471-8E11A5F27403,https://link.overdrive.com/?websiteID=89&titleID=84837,Normal,0
b11344838a,Online Video,81635E66-743A-4653-85EA-4DF4B2B6BACE,https://link.overdrive.com/?websiteID=89&titleID=84842,Normal,0
b11344839a,Online Video,8D7A28F4-6DCD-47A0-B48E-A7AB30A63294,https://link.overdrive.com/?websiteID=89&titleID=84843,Normal,0
b11344840a,Online Video,64E247AA-D0F4-4858-92C1-7AD5D2CAB1E7,https://link.overdrive.com/?websiteID=89&titleID=84844,Normal,0
b11344841a,Online Video,0AAE0281-AA87-43CE-A56B-0EB861C5F88C,https://link.overdrive.com/?websiteID=89&titleID=84847,Normal,0
b11344843a,Online Video,99F0391B-3F19-415C-AB9D-9E5DF87E7DCC,https://link.overdrive.com/?websiteID=89&titleID=84846,Normal,0
b11344844a,Online Video,B38E4657-3801-434B-9505-767E69C87CD8,https://link.overdrive.com/?websiteID=89&titleID=84439,Normal,0
b11344846a,Online Video,CF3CA011-DDC3-4647-ABF1-D02B1AE402BD,https://link.overdrive.com/?websiteID=89&titleID=84853,Normal,0
b11344847a,Online Video,F3B1E9C4-6FBC-4C15-8A4E-DE39689367FE,https://link.overdrive.com/?websiteID=89&titleID=84856,Normal,0
b11344848a,Online Video,9C8675F9-C393-49EA-841C-66BFD1444737,https://link.overdrive.com/?websiteID=89&titleID=84910,Normal,0
b11344849a,Online Video,41F0DFB8-54F8-4B6B-9323-24CBA6FF3813,https://link.overdrive.com/?websiteID=89&titleID=84664,Normal,0
b11344850a,Online Video,C7F1116D-9853-45AB-A8E4-B2D55CD82381,https://link.overdrive.com/?websiteID=89&titleID=96061,Normal,0
b11344851a,Online Video,7F5D6EED-0090-41D9-A326-7491C4CE5F43,https://link.overdrive.com/?websiteID=89&titleID=84120,Normal,0
b11344852a,Online Video,6E3DE60A-3603-410A-A2CE-4972F6DE71BB,https://link.overdrive.com/?websiteID=89&titleID=84167,Normal,0
b11344853a,Online Video,C064B450-833E-4DB2-8B8D-2780B63CD02D,https://link.overdrive.com/?websiteID=89&titleID=84493,Normal,0
b11344854a,Online Video,AFAED448-E911-45AE-9545-A5A134979453,https://link.overdrive.com/?websiteID=89&titleID=84324,Normal,0
b11344855a,Online Video,91796D1B-E5E8-4298-A54E-1CAD53356E8A,https://link.overdrive.com/?websiteID=89&titleID=84323,Normal,0
b11344856a,Online Video,A2CC21AB-6164-461B-8E91-CC55A2CB9FF3,https://link.overdrive.com/?websiteID=89&titleID=84038,Normal,0
b11344857a,Online Video,8CA46E69-A5BA-451C-B801-214A6CEEEB21,https://link.overdrive.com/?websiteID=89&titleID=96070,Normal,0
b11344861a,Online Video,DB65F578-865C-41A1-9BED-A87642EBF55D,https://link.overdrive.com/?websiteID=89&titleID=84742,Normal,0
b11344864a,Online Video,5C184FDB-3FA7-43D6-B950-522CDA2F4271,https://link.overdrive.com/?websiteID=89&titleID=84750,Normal,0
b11344865a,Online Video,B9915179-72DC-469D-A9C2-D51FE44E46BF,https://link.overdrive.com/?websiteID=89&titleID=84754,Normal,0
b11344866a,Online Video,E429BE41-7B84-4ED9-8C8C-C063258C343B,https://link.overdrive.com/?websiteID=89&titleID=84757,Normal,0
b11344867a,Online Video,B4023646-DAD0-467B-9CFF-7597C84BD4CE,https://link.overdrive.com/?websiteID=89&titleID=84205,Normal,0
