b117736582,b121017795,1FF9E90D-1408-426C-A41C-7DC738BE807D,2378A5F9-0BC5-47E6-B579-A61A44E3342A,ocn860833295,ocn860833295,x,x
b11788022x,b122944252,b122980591,b122981637,b122981911,b123009698,b123137214,39CE0A55-416D-48E7-8CF6-354DCA2AF9A2,D4BC910F-A7D1-44EC-BB69-6C1003BE341B,1E35CAEF-0C90-4ADD-9E6C-55388E0F2F3F,2B2635EE-028C-45EC-BF9D-CE0D53B2F6FF,666E56A8-358D-4447-A91C-2697EEE252AC,6B8CC791-1202-4373-B348-D491034A3C45,70BAD2CC-15A7-4007-8CC1-E5B36D7B38C0,,,,,,,,x,x,x,x,x,z,x
b121409934,b121409934,33B19AA7-9290-4DCE-B0A4-F4807306D3B4,33B19AA7-9290-4DCE-B0A4-F4807306D3B4,on1021175307,on1021175307,z,z
b123004469,b123013434,784233EC-6444-4BA5-97C1-6181CEE0F5A0,784233EC-6444-4BA5-97C1-6181CEE0F5A0,on1155439908,on1155439908,x,x
b116407670,b119260190,b119260190,DA782D31-550F-4344-99F3-5691575B67E5,6807CE38-7CF7-44AB-8808-FDBA08E587D7,DA782D31-550F-4344-99F3-5691575B67E5,ocn436668639,ocn436668639,ocn436668639,x,x,x
b117109289,b121018143,4AFD7B6C-E7AD-4C38-8F9D-26FDAF1297EE,04A10E9F-CF71-418A-89D5-32E4792D0925,ocn823655998,ocn823655998,x,x
b11862491x,b118625925,AA90CAD0-F744-4269-8343-15605C75FE70,AA90CAD0-F744-4269-8343-15605C75FE70,ocn907292394,ocn907292394,x,x
b123005504,b123014475,638C6864-7F70-4894-A4D0-237B59FCCADD,638C6864-7F70-4894-A4D0-237B59FCCADD,on1155808350,on1155808350,x,x
b12300083x,b123008785,460FF773-20FC-47AB-868F-6D0FCB501439,460FF773-20FC-47AB-868F-6D0FCB501439,on1155923767,on1155923767,z,z
b122979515,b123007689,A9A58796-4E92-4F48-BA84-7643E09E3C4E,A9A58796-4E92-4F48-BA84-7643E09E3C4E,on1159678980,on1159678980,x,x
