b123003271,b123012272,2E36D773-92E3-4633-97D7-26AB8BD94051,2E36D773-92E3-4633-97D7-26AB8BD94051,on1155200614,on1155200614,x,x
b113851789,b114736248,08484724-BC86-43A9-868D-5118BCC381E0,08484724-BC86-43A9-868D-5118BCC381E0,ocm78051884,ocm78051884,z,z
b12172752x,b123074113,A95C0AEA-0FA6-4B7B-8D6A-02920B0FABA2,A95C0AEA-0FA6-4B7B-8D6A-02920B0FABA2,ocn947858295,ODN0002462256,x,x
b12291224x,b123087600,424DFEFF-0001-4157-BDCB-64ECE23FAF15,424DFEFF-0001-4157-BDCB-64ECE23FAF15,ocn965822743,ODN0003006565,x,x
b119389162,b123295464,794C998F-A5A8-4F1C-8FFD-E8D7D4ED9D88,794C998F-A5A8-4F1C-8FFD-E8D7D4ED9D88,ocn824512546,ODN0002505433,x,x
b116085824,b116269212,9EC273C7-0032-4583-BF5B-EA6D09ADCA74,9EC273C7-0032-4583-BF5B-EA6D09ADCA74,ocn729371372,ocn729371372,x,x
b122802913,b123086474,1298C45B-A0C9-476C-8A1D-48FCB4ED6BD6,1298C45B-A0C9-476C-8A1D-48FCB4ED6BD6,on1134620572,ODN0005039900,x,x
b119787246,b123295774,06A0BA06-CDD4-4F40-B471-2CEB2C673075,06A0BA06-CDD4-4F40-B471-2CEB2C673075,ocn957589394,ODN0002713486,x,x
b11862457x,b118625561,FB8CA849-9F5A-44A4-85BC-2055B13C88C8,FB8CA849-9F5A-44A4-85BC-2055B13C88C8,ocn906704623,ocn906704623,x,x
b120550325,b123355229,8F39EBEA-5D9B-4DD9-8CEA-3DDF1068178B,8F39EBEA-5D9B-4DD9-8CEA-3DDF1068178B,ocn937698631,ODN0001813111,x,x
b120749002,b12329082x,F0FD1A20-BB88-4595-AAF9-960F3793DFD6,F0FD1A20-BB88-4595-AAF9-960F3793DFD6,ocn968100333,ODN0002229169,x,x
b119019541,b12330880x,B99D19C3-BA7C-45A6-A524-F4A86491073F,B99D19C3-BA7C-45A6-A524-F4A86491073F,ocn915135628,ODN0002234722,z,z
b12003671x,b123067637,2B8AC44A-13E9-46D0-96AB-61D4BD82AFDB,2B8AC44A-13E9-46D0-96AB-61D4BD82AFDB,ocn959428711,ODN0002560423,x,x
b121574271,b121574271,628735EC-7FC0-46BE-B4E4-5258F43934C1,628735EC-7FC0-46BE-B4E4-5258F43934C1,on1048255462,on1048255462,z,z
b119636785,b123361576,6D1D21B5-FCA3-4E2B-868F-AED4D44C4B03,6D1D21B5-FCA3-4E2B-868F-AED4D44C4B03,ocn869821910,ODN0001537527,x,x
b120790920,b123130050,764B5B94-7560-40A8-95E2-4B33A08523FC,764B5B94-7560-40A8-95E2-4B33A08523FC,ocn993590664,ODN0002922992,x,x
b122979126,b123007306,0D5867D8-E10F-46FE-A05C-1C806582416A,0D5867D8-E10F-46FE-A05C-1C806582416A,ocn800405817,ocn800405817,x,x
b122963155,b123056561,F1E0421A-A22C-44E8-BCA6-48840AAF8E5B,F1E0421A-A22C-44E8-BCA6-48840AAF8E5B,on1130059266,ODN0005028505,x,x
b11935486x,b12321144x,35A0392B-DE89-4ADE-B964-864F60CD978A,35A0392B-DE89-4ADE-B964-864F60CD978A,ocn904292324,ODN0002276303,x,x
b120218653,b123083904,AB60CDEA-804D-4015-8EA9-FE01D00D6801,AB60CDEA-804D-4015-8EA9-FE01D00D6801,ocn974796491,ODN0002841540,x,x
b117934963,b123061489,6226AB59-D33E-441D-97A3-DAB6A46EC917,6226AB59-D33E-441D-97A3-DAB6A46EC917,ocn862732409,ODN0001223519,x,x
b121409880,b121409880,A23B6B79-1A68-4115-97B2-724906948CD6,A23B6B79-1A68-4115-97B2-724906948CD6,on1039079608,on1039079608,z,z
b121617415,b123088550,46306934-8819-42A3-A95A-7C1F2CE0A208,46306934-8819-42A3-A95A-7C1F2CE0A208,on1012490549,ODN0003626912,x,x
b11693136x,b116933197,6BF37007-0635-47C2-9998-5C4998137B7B,6BF37007-0635-47C2-9998-5C4998137B7B,ocn802961502,ocn807589050,x,x
b122915513,b123089335,FDC633EB-687B-4075-AE05-92076775087D,FDC633EB-687B-4075-AE05-92076775087D,on1151766510,ODN0005181170,x,x
b12169723x,b123087247,67A44323-09D0-4031-8D24-5DBBA25F294A,67A44323-09D0-4031-8D24-5DBBA25F294A,on1064720646,ODN0004237912,x,x
b123005267,b123014232,F50634A0-BAEC-4A26-ADDB-6EAD2007AFBA,F50634A0-BAEC-4A26-ADDB-6EAD2007AFBA,on1155923552,on1155923552,x,x
b123001730,b123006995,7505BB60-4084-4857-816A-04B2397337D3,7505BB60-4084-4857-816A-04B2397337D3,on1157209514,on1157209514,x,x
b122474569,b123071380,2093DE14-AABC-438F-B514-D1EF31D8DD30,2093DE14-AABC-438F-B514-D1EF31D8DD30,ocn942842778,ODN0002462319,x,x
b121635600,b123060771,6A20607D-9F51-4BC0-A465-C4EB0F75056F,6A20607D-9F51-4BC0-A465-C4EB0F75056F,on1004955181,ODN0003140607,x,x
b12300505x,b123014025,F3E3023C-31A8-465E-9230-AFB9A02DDB5B,F3E3023C-31A8-465E-9230-AFB9A02DDB5B,on1037700761,on1037700761,x,x
b119774963,b123271307,0AC9A5AE-9AAA-4D1C-A0E7-CF0CD632F7EE,0AC9A5AE-9AAA-4D1C-A0E7-CF0CD632F7EE,ocn755725391,ODN0002830065,x,x
b121618493,b12305445x,16E650D3-7E0B-4113-AB6F-041B7C85D57E,16E650D3-7E0B-4113-AB6F-041B7C85D57E,on1030579570,ODN0003751549,x,x
b122701811,b123129989,27D8914C-FE0E-4993-A3A9-385788038418,27D8914C-FE0E-4993-A3A9-385788038418,on1049151185,ODN0003685300,x,x
b123002552,b123011553,00F90711-48D5-46EB-9CDD-499E0A6D3F5B,00F90711-48D5-46EB-9CDD-499E0A6D3F5B,on1151846329,on1151846329,x,x
b120960461,b123083722,C03D9B20-96F3-4EE6-9B86-FA3F476034E5,C03D9B20-96F3-4EE6-9B86-FA3F476034E5,on1008875002,ODN0003088358,x,x
b12300259x,b123011590,6513024D-9F33-4280-AECC-EB3CF9F69B78,6513024D-9F33-4280-AECC-EB3CF9F69B78,on1156320359,on1156320359,x,x
