isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext,_merge
,,,,,odn0000505107,9F503263-F392-4B53-A866-1DE9AD509B27,z,right_only
,,,,,odn0000483011,9F21C4A3-9EFB-4478-AA02-7CD47257A133,z,right_only
,,,,,odn0000536348,A1D6F714-E659-4151-B460-EA9A8994A346,z,right_only
,,,,,odn0000517390,EBC3EDFC-05E2-4B45-9D6C-4FB5EFBF6A50,z,right_only
,,,,,odn0000058491,12F8DDBA-C148-4D08-B5A0-9663A536F10D,z,right_only
,,,,,odn0000671334,A7914B78-3DFC-4860-A3A2-001AB87C3479,z,right_only
,,,,,odn0000569890,48F6ED76-C072-4107-835E-AAADAFA8E75A,z,right_only
,,,,,odn0000483012,68D9F4EB-0F75-4AC9-A50D-D5C623D8D722,z,right_only
,,,,,odn0000536351,2665A77F-3510-4DD7-8CBF-E493CD531B77,z,right_only
,,,,,odn0000671335,EFD98CC9-586F-43C1-BF30-83F6ED409FA9,z,right_only
,,,,,odn0000638195,04B381F3-214E-49B5-895C-422EF3E81FA0,z,right_only
,,,,,odn0000638213,95D095E3-FB87-4D25-9F56-C8C24329C3F5,z,right_only
,,,,,odn0000348597,9BB2A235-41AF-439E-A42F-FA4D037360DB,z,right_only
,,,,,odn0000536353,8E5B049B-5714-4806-9D4F-C7D731F4DEB4,z,right_only
,,,,,odn0000058533,574038FF-044B-4C23-894D-7EB18E24E205,z,right_only
,,,,,odn0000483013,0F3A82EE-020F-4DEA-8CE5-696AE8374AA3,z,right_only
,,,,,odn0000509304,2ADB381E-973E-46D5-98C4-4223D950B8DF,z,right_only
,,,,,odn0000483014,4C31B3A9-272C-4626-8CF4-93C8818A6DC1,z,right_only
,,,,,odn0000509299,DA531CCF-C3D3-472F-AF8A-9FB20E4490B3,z,right_only
,,,,,odn0000505109,A97D104E-11D3-4A81-A917-28B9CA7167E7,z,right_only
,,,,,odn0000659552,7A58AE5C-DA0C-431E-ABCB-D853B8170634,z,right_only
,,,,,odn0000509300,DEAD6D42-166D-4E0A-84BA-43B2A7C3B985,z,right_only
,,,,,odn0000641576,84BEFE44-B90C-4B93-AF1D-9F9F807F6EA5,z,right_only
,,,,,odn0000539911,FE581C9D-DC68-43E9-BE34-39F8B8CA4B95,z,right_only
,,,,,odn0000505113,87C8165D-70DE-48E7-8AD8-26D55CC5DA04,z,right_only
,,,,,odn0000517408,7DCE607A-E446-41C0-B99E-C77F32C8C126,z,right_only
,,,,,odn0000569877,0A287ABD-9054-4EA3-9FCD-FE137C4892E4,z,right_only
,,,,,odn0000536357,59F5683D-2238-4F3C-A38C-0464A09C2F89,z,right_only
,,,,,odn0000549929,DB2EE589-61E0-4689-868F-5FC67BDEA5B3,z,right_only
,,,,,odn0000565150,87224349-783B-4EC7-AA79-76858DFFA71D,z,right_only
,,,,,odn0000536360,16749A40-941C-4C49-ACB0-92BE268A8AD7,z,right_only
,,,,,odn0000195722,8FA3D53C-9C26-48CF-B5C6-BAED4FF7D5B9,z,right_only
,,,,,odn0000208124,EC80F95E-B4C9-4879-B857-35D1FF2F3F45,z,right_only
,,,,,odn0000489897,2486D802-69A7-41BF-9D5D-4B19D4F8869B,z,right_only
,,,,,odn0000536376,DA092D86-95B0-4250-A1BB-7CF0BD1C9F6C,z,right_only
,,,,,odn0000536377,F5CAEC3F-635A-4F01-9F62-F9E1421FBA1D,z,right_only
,,,,,odn0000333486,A2EF0FB0-B494-43BC-AC75-CEDAB425E8AB,z,right_only
,,,,,odn0000536362,61DDC2A5-36A9-415D-83F2-281F7AF06A2C,z,right_only
,,,,,odn0000517397,1D297511-7A58-47D2-A79F-5572FB5AA5A4,z,right_only
,,,,,odn0000505117,E9DCDA72-AB94-460A-8AE8-8EC3AD70440C,z,right_only
,,,,,odn0000539908,4903370F-8D5C-4E58-B9D1-E3F419490B4C,z,right_only
,,,,,odn0000517398,BD25EF48-24F8-4E6B-AC6A-FA4D4318FB49,z,right_only
,,,,,odn0000483003,723E7415-4B66-432F-85E4-C4BEBDE1A57B,z,right_only
,,,,,odn0000478655,86A0F931-F158-4217-B64E-DC5DDA0A7C43,z,right_only
,,,,,odn0000529645,F4C148B3-F6E9-4BB9-A9D0-B1CBDA027E53,z,right_only
,,,,,odn0000489900,E1090233-E20E-457A-8431-2D6C969CF01C,z,right_only
,,,,,odn0000577424,4BFCE561-1969-4CA2-8C47-4C0EF5382E6D,z,right_only
,,,,,odn0000536366,1AF8FB98-9AD3-4183-B10C-2795452C9F83,z,right_only
,,,,,odn0000058623,C17613D6-0349-4A3C-B4A4-6D358F0AD9BE,z,right_only
,,,,,odn0000333489,04705D49-1A56-4CD3-861A-7CBB33C51D6F,z,right_only
,,,,,odn0000489874,85C9F5D2-D22E-43F0-A04D-E5180F961853,z,right_only
,,,,,odn0000517400,0429F9A4-F3D8-48EA-8011-924FF5F3FE60,z,right_only
,,,,,odn0000483019,8321FB51-81CF-4B09-8489-463ACED4FD4B,z,right_only
,,,,,odn0000536384,B157BC6E-2A3F-4D72-A3C1-52059D43608A,z,right_only
,,,,,odn0000536386,343EBFDE-10D5-4D58-80E1-50873C174451,z,right_only
,,,,,odn0000517412,80D8AF89-BB12-4F60-877B-0C25BE903064,z,right_only
,,,,,odn0000517405,6CD4E791-2DB7-454E-A585-A59139E016C9,z,right_only
,,,,,odn0000549943,98945F8A-15B9-49DA-A5ED-FF6FD0854ACD,z,right_only
,,,,,odn0000549944,D644CFAF-278D-45D5-9B51-A6A9863E82D2,z,right_only
,,,,,odn0000517414,D3BBB140-15EA-4E8D-86E7-84B3D30C79F2,z,right_only
,,,,,odn0000505130,2D8016A8-6731-4AF8-842F-27F48756EF9D,z,right_only
,,,,,odn0000590184,69239105-B16F-43B9-9013-2D1E09274FD2,z,right_only
,,,,,odn0000505123,8366BE6E-1D7D-4409-85C2-1B623D08BB71,z,right_only
,,,,,odn0000529648,9CAE1989-0675-4574-B948-81E143EB748B,z,right_only
,,,,,odn0000549947,B3C7E9B1-167E-435F-AE84-87296E626DAD,z,right_only
,,,,,odn0000333503,079808D8-252E-4496-91A7-0D4AB282C5BA,z,right_only
,,,,,odn0000641600,93D7FCEC-9684-42C1-8A9A-2FEE7FC0C178,z,right_only
,,,,,odn0000333504,54527FCC-7D76-445D-BCC0-E1C91969C9F7,z,right_only
,,,,,odn0000638226,8E5CEBAF-EB4A-4016-A21E-92545E381904,z,right_only
,,,,,odn0000536393,92E6DED8-AD1D-4C5D-AD61-1DD98CB68516,z,right_only
,,,,,odn0000517417,FEB2C7C3-FA88-448F-A767-EE7A4A328C4A,z,right_only
,,,,,odn0000577407,AF9A6CEC-06E8-4267-B85B-A8EDD6A597D8,z,right_only
,,,,,odn0000577410,D964CA27-B92B-484D-BA72-53298955E8CD,z,right_only
,,,,,odn0000638183,D99F2EDE-0119-4A34-AEA9-9866688F389B,z,right_only
,,,,,odn0000638184,FA471086-5604-47C3-9323-E60CE51DC289,z,right_only
,,,,,odn0000641571,FA5D18C1-A8D9-4FA8-AC52-EC4060BA017A,z,right_only
,,,,,odn0000483002,8EADCA6C-8F9E-4340-AA3E-C675AE0A01C3,z,right_only
,,,,,odn0000505098,451BECFC-0DD9-444B-BA68-075A5749854D,z,right_only
,,,,,odn0000517411,5B342106-8FE0-4DC8-9FA1-04F00AD7FD1F,z,right_only
,,,,,odn0000517379,DD61CC1E-59EB-4ABC-B5E0-56B505E2D942,z,right_only
,,,,,odn0000505126,698161E8-8370-4062-B504-83F2026DC956,z,right_only
,,,,,odn0000536394,6A16B0D5-0207-403A-B191-835A3C4BF163,z,right_only
,,,,,odn0000489880,65A0A4B9-D798-4340-A3EA-73080609BCDA,z,right_only
,,,,,odn0000659516,C5B8AD75-8235-4A70-B115-91878A24E8D2,z,right_only
,,,,,odn0000505102,EF7BAF27-C3AE-4903-B80C-7AE79B6359E9,z,right_only
,,,,,odn0000483007,78B8B608-99AF-4F5D-B4C6-B466739D0327,z,right_only
,,,,,odn0000549913,EB1BDD25-A0BD-453C-8C1E-C0FAA142DD8B,z,right_only
,,,,,odn0000339490,BA3ADDEF-04AA-4933-A840-0986270D29E0,z,right_only
,,,,,odn0000549938,8845F712-6B9F-48A2-8A34-18356C11991E,z,right_only
,,,,,odn0000549940,24704ABA-BE17-4EFC-BF4E-4CFB921FD620,z,right_only
,,,,,odn0000569889,19B0E9C6-3C6F-4AE7-B8E3-87A824C5C331,z,right_only
,,,,,odn0000549920,95F83C4E-6019-4E7A-A9E8-2DD214F8AF1D,z,right_only
,,,,,odn0000505120,D15D4E8A-750D-485E-A669-BB7A53205695,z,right_only
,,,,,odn0000638187,3390D204-A099-4E86-BAE9-2BF6005DD8FF,z,right_only
,,,,,odn0000489892,6F75D479-BC7C-4CB3-B090-D887119F638F,z,right_only
,,,,,odn0000659538,CB087764-03E4-4F96-9C4D-3ECD68AF09F2,z,right_only
,,,,,odn0000565149,5FF978BD-99DC-42CC-BFDE-34922EDD9834,z,right_only
,,,,,odn0000565148,04F40700-8202-4164-8CA9-3D5DA29FD44D,z,right_only
,,,,,odn0000659539,D3B0A0F2-C7CA-4126-980D-9DD225A611BB,z,right_only
,,,,,odn0000638193,03E8E9DD-0F29-437B-BAEE-CFCF1778DA58,z,right_only
,,,,,odn0000638194,DDBBB241-63B8-4740-B342-E59747763B14,z,right_only
,,,,,odn0000577417,4ADF92B8-8D9D-479E-A725-289BC4203F68,z,right_only
,,,,,odn0000478681,C22C3686-2652-4BD0-9E98-A6D66842AB0E,z,right_only
,,,,,odn0000549908,CA6C5150-1E45-4431-AA7A-FCFC99025F49,z,right_only
,,,,,odn0000316796,E42B45F3-DC36-4207-82D6-A2E5AC034734,z,right_only
,,,,,odn0000549928,8C13709F-54E5-49C0-B172-6F78209672B4,z,right_only
,,,,,odn0000517394,7D55FF10-9377-4634-B6FD-5A5943C0E5DA,z,right_only
,,,,,odn0000536359,E47DD33C-ABCC-420C-AF0D-767A5B12884C,z,right_only
,,,,,odn0000505114,246E0057-4427-47BA-A858-EC7071CA48FF,z,right_only
,,,,,odn0000333498,9F8A0A27-1D61-4AD9-8425-B91D44E5B6BB,z,right_only
,,,,,odn0000355304,585CC0A3-F094-411E-B25D-4F7595EFCBAF,z,right_only
,,,,,odn0000577423,F94F28D5-8708-446E-B350-38A9551C309A,z,right_only
,,,,,odn0000569917,EC08A4A9-78CF-43BD-AC75-5F37285BEBDB,z,right_only
,,,,,odn0000549948,2205EE50-EE9E-4817-B327-DFDED367175A,z,right_only
,,,,,odn0000549950,63E7AB63-4260-4277-81B5-E1E6C9196017,z,right_only
,,,,,odn0000160851,06293AC7-3C50-4A44-B8A0-C521D7D8EB40,z,right_only
,,,,,odn0000625290,0E207ED5-81EB-4FF4-BD33-AD827157C811,z,right_only
,,,,,odn0000589339,D42BAF82-1748-4D62-AF42-77529CD976C9,z,right_only
,,,,,odn0000589284,59C72197-635B-4801-9ED9-273A01DCC2AF,z,right_only
,,,,,odn0001277046,DA860A11-EAFF-4E59-AC3D-0FC775153FB8,z,right_only
,,,,,odn0000577203,57466937-5822-4FBC-A97A-05E05D09BD3F,z,right_only
,,,,,odn0000528056,0E36DA66-4E0B-49E0-BA8D-EE867B57DFC8,z,right_only
,,,,,odn0000615686,DFA6B20B-52B0-4DD0-A794-87AB33CC6FDC,z,right_only
,,,,,odn0000528037,304FF6FD-9166-44A3-88CA-CA30CFB5A62A,z,right_only
,,,,,odn0000681096,4D3B094F-A905-4B43-ABFF-0D53EC9CD546,z,right_only
,,,,,odn0000653933,BFD1682C-9944-4D21-9DE9-383A88B4F0B0,z,right_only
,,,,,odn0000625279,7274BF45-30B3-481E-B6B0-C3A1EDEEA7D9,z,right_only
,,,,,odn0000653963,3300F2FB-03F4-4B80-9BE1-704F5A854D3F,z,right_only
,,,,,odn0000637600,7A13326E-5FB8-473D-8BC0-76ED58CB6673,z,right_only
,,,,,odn0000555468,950063CC-D33E-42CF-B0EF-B9B004ECD797,z,right_only
,,,,,odn0000451378,5EFF26B2-3AF7-43D6-804E-E4CA23025021,z,right_only
,,,,,odn0000462142,8F298036-33A7-420B-96BE-3C9C2694A728,z,right_only
,,,,,odn0000462143,45487F08-40FF-4982-BF8C-C17705CBF67D,z,right_only
,,,,,odn0000659022,23636B50-3E9D-4D75-87E1-0BE8FF134F3C,z,right_only
,,,,,odn0000555497,D9948781-D2C3-4D67-9B80-84268CCA1913,z,right_only
,,,,,odn0000653976,7C10ABC4-6357-426D-8A6C-BCD523477909,z,right_only
,,,,,odn0000528066,AC8CE9B7-F179-4564-A0D7-0042B71A9C91,z,right_only
,,,,,odn0000503954,8017AA66-1800-4BE3-8AA5-B528AFF1A209,z,right_only
,,,,,odn0000462141,8D87FC20-C59A-4E18-A801-F5CEBF4502FE,z,right_only
,,,,,odn0001903912,E9848FF7-3232-460A-B4DA-CF3DD855DD5A,z,right_only
,,,,,odn0000107267,832ECACC-EAC2-4F13-8D55-3A0646497281,z,right_only
,,,,,odn0002056190,747E1DDB-F939-43A2-9CDE-7854648B720C,z,right_only
,,,,,odn0000625274,C22268BA-CB76-4A6E-B184-C05DC45208EE,z,right_only
,,,,,odn0000716792,E9D26D42-7757-4316-B773-848DB2FA2766,z,right_only
,,,,,odn0000504885,F88CDC5F-BE6E-44AA-806D-472056DB136B,z,right_only
,,,,,odn0000625277,C906D456-A89F-4EF4-BE2C-FF5D342F4F0F,z,right_only
,,,,,odn0000716796,48B14AE2-45AE-4BF0-81B7-80FB165FA3AD,z,right_only
,,,,,odn0000653962,E24BE3B5-9215-4E05-81A7-7AE108F30A27,z,right_only
,,,,,odn0000681097,A598FEE1-C3DF-4E3B-B02E-51DAE8D00D45,z,right_only
,,,,,odn0000681087,B73D5D94-ABFD-47A9-8BFB-F4975AA55C71,z,right_only
,,,,,odn0000653964,2FBF29D3-BFD6-4821-BADB-4E73B53EF876,z,right_only
,,,,,odn0000681101,DBF15A92-CC71-4D24-ADEA-442F0183472E,z,right_only
,,,,,odn0000681091,A103C7D6-2092-4358-A9F1-23A4C10B5B20,z,right_only
,,,,,odn0000639611,297D7945-BB2F-4309-BD45-923D78B50B55,z,right_only
,,,,,odn0000681104,BC37756E-31FF-43BF-AD37-148B3C72A7EC,z,right_only
,,,,,odn0000589345,C7283FEB-EA60-4F8C-911E-305249191395,z,right_only
,,,,,odn0000065621,89C8E85F-B286-4E0B-B510-C2E92B148B5D,z,right_only
,,,,,odn0000205735,26493E5C-6AC0-458E-B23D-D7BD0644C677,z,right_only
,,,,,odn0000205835,E4E991F1-889C-487A-82FD-ED0D8FFA66CA,z,right_only
,,,,,odn0000075478,CD83A179-2EB1-4F6E-80B6-7AE9A75C62C2,z,right_only
,,,,,odn0000075449,02300233-E322-42F9-BBC7-35CA3E282A65,z,right_only
,,,,,odn0000075450,23AC447A-D8FE-4929-8E36-A2F9E578DAE2,z,right_only
,,,,,odn0000075451,679ECAFF-9CAA-44BB-A8E8-66D24D9EE349,z,right_only
,,,,,odn0000075452,E83A1518-842A-43AE-85C9-B33A8FC357AD,z,right_only
,,,,,odn0000075426,58FCB898-5914-4DBA-A8FA-6585ADFF4069,z,right_only
,,,,,odn0000075436,3ED39B03-0190-4E71-9B46-7E889D732204,z,right_only
,,,,,odn0000552737,2CE1109E-8755-44CD-8DBF-743F5CC19CE5,z,right_only
