overdriveNo,overdriveControlNo,sierraFormat_ext,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status
E11992C1-B551-4462-B875-6B11E55219DB,ODN0000046838,x,037,b117890649,ocn436445481,OCoLC,x,n
272AE882-B1AF-430B-946B-AE25CEA1D3EA,ODN0001743680,x,037,b118030759,ocn864465532,OCoLC,x,n
6CD17164-E2F7-4CA7-B8BC-32917C0CBABF,ODN0000024309,x,037,b118137566,ocm50811085,OCoLC,x,n
E6A804D7-D931-4D88-8A5C-91ECF2587A4A,ODN0000004237,x,037,b116356923,ocn614519171,OCoLC,x,n
EA7EF27B-CEC9-42B1-87B0-53FCBDC4ADE6,ODN0002053930,x,037,b118729342,ocn910878916,OCoLC,x,n
EF5BA90C-FA4E-4BE8-8CEC-F1288EC54B77,ODN0001812104,x,037,b118621701,ocn906813505,OCoLC,x,n
AAC2E77A-F020-4F72-9B6B-2AAFBB386B42,ODN0001771034,x,037,b11857288x,ocn905236467,OCoLC,x,n
33824656-9E12-463C-845A-2D54DE18F04E,ODN0002019381,x,037,b118685417,ocn907950281,OCoLC,x,n
586F0D02-F118-4F48-A9D1-98A332B733CD,ODN0001903292,x,037,b11866573x,ocn906813518,OCoLC,x,n
A0817178-ADC7-4696-95ED-4B619799C0DC,ODN0001944464,x,037,b118479945,ocn903366444,OCoLC,x,n
A07674D1-BAB7-403A-B6ED-3EADA081D879,ODN0003018870,x,037,b120430770,ocn985096282,,x,n
E67F7B3A-2130-4009-A814-32B886AE59A9,ODN0000454338,x,037,b11850289x,ocn688486073,OCoLC,x,n
4E558E94-460D-4498-806F-D1528316B069,ODN0001742791,x,037,b118456064,ocn900606714,OCoLC,x,n
81F9CFE3-EC9B-444E-AD59-643568D5DAD8,ODN0003022253,x,037,b120863303,ocn995162213,,x,n
EF3B8CEE-0421-463D-B662-5EF194D3D29D,ODN0002484258,x,037,b119775426,ocn951854798,OCoLC,x,n
615B7888-D98A-40F2-BDFF-615EC383D761,ODN0001492653,x,037,b118267310,ocn877900223,OCoLC,x,n
