isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext
9781935744511,ocn774293742,b117238119,x,-,odn0001355466,5D4A122A-D1F4-4C84-8549-3EE94FDBB152,x
9781935744368,ocn774288696,b117238120,x,-,odn0001355510,5451254E-2610-47BD-82EB-0BF9D34C0BF2,x
9781935744252,ocn714569631,b117238168,x,-,odn0001359513,9AC49D9B-0F87-46CA-B1AA-986A8AF57372,x
9780981987361,ocn815670351,b117238259,x,-,odn0001323034,5F96B0BA-3AA8-4D85-AD30-85DD9AB4CC3C,x
9780749008772,ocn656963839,b117266607,x,-,odn0000307414,EC659DE0-5327-4073-957D-6E676B0F25CF,x
9781935744399,ocn794488735,b117274604,x,-,odn0001322756,A92EDC85-DD36-4B29-A628-567E947ABB25,x
9781935744238,ocn794488685,b117274951,x,-,odn0001322626,5E243B89-FA3A-4DD6-805D-579F8B28F492,x
9781935744146,ocn784884574,b117275414,x,-,odn0001359520,9F2D266A-AD37-4EBB-A6CE-8718FC0C9EB8,x
9781935744122,ocn794488786,b11727575x,x,-,odn0001322746,89577422-E4DF-438C-B51E-94C1CC00C087,x
9781935744634,ocn827861378,b117342488,x,-,odn0001323008,30030993-C986-49E6-9275-B4837C59B2A6,x
9781935744757,ocn831116849,b117343018,x,-,odn0001323120,B52B3CC4-DA1F-4D6C-890E-9EB0915B8C8B,x
9781935744771,ocn831116851,b117381822,x,-,odn0001322937,E4005BBB-73E6-462B-B99C-DC5B134A1E93,x
9781609417222,ocn843126653,b117389900,x,-,odn0000317249,0989ADBB-B1C9-4392-80EC-9F7479A2F852,x
9781448882717,ocn826026520,b117415893,x,-,odn0004239584,F5E646F6-BF3D-4363-84CF-E5AE633ED198,x
9780520952324,ocn774290526,b117425898,x,-,odn0000709853,21AF420D-7F71-479D-847E-919CEFF36A6F,x
9780544181779,ocn691272364,b117427305,x,-,odn0001302702,FACB0B71-7F56-4E35-B1B8-23062996A313,x
9781611459340,ocn852252717,b117729255,x,-,odn0001529796,D777F41F-4CF6-4293-96CF-01117DB75CA0,x
9781478983965,ocn876281947,b117936534,z,-,odn0001744965,B93484A1-122C-4EEA-8578-F0E381D8B50E,z
9780071803045,ocn864443359,b118030711,x,-,odn0001471695,35583330-7B45-4ED3-9FDC-020CB772D5D2,x
9780071809238,ocn857713476,b118031430,x,-,odn0001472448,DBBD1FF0-CEC1-4C98-BEB5-84F07DD44B2E,x
9781620406908,ocn881684048,b118094919,x,-,odn0001770711,0C537D69-B17D-4D08-9009-A26E0F4DAC65,x
9781601832351,ocn882258620,b118095018,x,-,odn0000784092,02825A1C-4C43-47B2-8A9C-2FA124E0AF0D,x
9781782271116,ocn884576730,b118120566,x,-,odn0001942643,9F13105F-17C4-4AA7-AAE0-2AA5297A522E,x
9781628722062,ocn875276277,b118174204,x,-,odn0000705246,AC079F42-BC4B-4797-A16F-A82BFAB1A4D4,x
9781488003974,ocn933733436,b119422803,x,-,odn0002399099,39F89BBF-F554-43EA-8C7A-9349B58DA8FC,x
9780062448781,ocn960638591,b119861100,x,-,odn0002534883,8C334EBE-0027-4278-9A4E-13335AC15C9B,x
9781101905050,ocn961352600,b119871506,x,-,odn0002686177,B9765B6D-72BE-40E5-AF5A-92FDE0225628,x
9781626566279,ocn953847519,b119871919,x,-,odn0002880943,1037147F-7CF5-4FD9-A8B5-485CCED01AE9,x
9781626566262,ocn953847519,b119871919,x,-,odn0002880943,1037147F-7CF5-4FD9-A8B5-485CCED01AE9,x
9781488006401,ocn795184365,b119875196,x,-,odn0002914107,DA2B4D25-822C-4B6F-8A83-C0D6C1C930C1,x
9788499895642,ocn910324921,b119875652,x,-,odn0002080353,5F842413-3020-441A-BAF2-8E5533FE4E7F,x
9781488006388,ocn759836478,b119876772,x,-,odn0002914108,23C5A620-6EE9-4239-B7E7-838A35D17D85,x
9780553513110,ocn960041123,b119876954,x,-,odn0002650909,45653A6F-9B92-4F92-AA89-1F5AEDF87F0D,x
9781784786519,ocn958455701,b119878069,x,-,odn0002621181,7E814EF8-3CBD-47E5-8996-4CF0DE18E8DE,x
9781101968147,ocn953576572,b119878082,x,-,odn0002671010,E93378C9-B404-463E-8E21-BFC007CFD154,x
9781488024153,ocn960977307,b119878185,x,-,odn0002996606,28A7CC38-6DF4-439F-8B2B-6D63DF1F3606,x
9781616206505,ocn962855150,b119922496,x,-,odn0002577662,A6431D45-7453-4758-A9E5-52E10381CF13,x
